Track title,Album title,duration (ms),Artist namesArtist IDs,track ID,album ID
Supalonely,STELLA & STEVE,223480,BENEE | Gus Dapperton,0Cp8WN4V8Tu4QJQwCN5Md4 | 6sHCvZe1PHrOAuYlwTLNH4,0Cp8WN4V8Tu4QJQwCN5Md4,3ZJSoxsPMkNC9eb6gUn0Q8
Wide Awake (Acoustic),Wide Awake (Acoustic),182000,Celine Rae,4WDTqA2h3DEZ1lRlf2vyZt,4WDTqA2h3DEZ1lRlf2vyZt,1JfHmJkmb2B7ib54EYKNJH
The Box,Please Excuse Me for Being Antisocial,196652,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,757aE44tKEUQEqRuT6GnEB,52u4anZbHd6UInnmHRFzba
How Can I Live,How Can I Live,136309,WIESE,4aFRdYZpWEuAIA89aSnv7D,4aFRdYZpWEuAIA89aSnv7D,4QpMy4SuDhu6yjtSOHsZd9
Haugenstua,Haugenstua,149043,Herman Flesvig,2O7tfbCNrhxx94RG2An1q9,2O7tfbCNrhxx94RG2An1q9,4oIvMzMod73ZbonhN4S7Hu
Real Life,Real Life,155409,Luxe Agoris | Nicholas Roberts,6ejyZKJqfU1trzNHiAA3Ro | 5AzZFipQtJEUXeQ3JJzMX4,6ejyZKJqfU1trzNHiAA3Ro,0qhw6NbKONFeFJhJMi6138
death bed (coffee for your head),death bed (coffee for your head),173333,Powfu | beabadoobee,6bmlMHgSheBauioMgKv2tn | 35l9BRT7MXmM8bv2WDQiyB,6bmlMHgSheBauioMgKv2tn,2p9gK2BcdrloHNJwarc9gc
Into the Dark,Into the Dark,212961,Silent Garden,29SttYIZcCnXnvNTiP05zi,29SttYIZcCnXnvNTiP05zi,5najG0mohVUOuiRpUng2Vh
Salt,Salt,180283,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,4npEfmQ6YuiwW1GpUmaq3F,6KPJTxKFCpuzrwyJGcURqK
DANCE,DANCE,174448,CLMD | Tungevaag,7LiVklVR1325BIOqD9kykr | 49CE2ffZ6Z3zeYSDauSKck,7LiVklVR1325BIOqD9kykr,4YIOg7I2h6ISBGXijrVtLi
Someone You Loved,Divinely Uninspired To A Hellish Extent,182160,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,4GNC7GD6oZMSxPGyXy4MNB,5658aM19fA3JVwTK6eQX70
Don't Start Now,Don't Start Now,183290,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,6M2wZ9GZgrQXHCFfjv46we,0ix3XtPV1LwmZADsprKxcp
Bad Child,Bad Child/Can't Be Happy All The Time,221466,Tones And I,2NjfBq1NflQcKSeiDooVjY,2NjfBq1NflQcKSeiDooVjY,6Z7DGRyzIlsq7kXNXQF3Yd
Sunday Best,Where the Light Is,158571,Surfaces,4ETSs924pXMzjIeD6E9b4u,4ETSs924pXMzjIeD6E9b4u,3mMWlBGocBwsS1Q0o9wvlc
Blueberry Faygo,Certified Hitmaker,162546,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,5zctI4wO9XSKS8XwcnqEHk,2a1AHCq835BXUcX1aTTWqQ
In Your Eyes (feat. Alida),In Your Eyes (feat. Alida),208222,Robin Schulz | Alida,3t5xRXzsuZmMDkQzgOX35S | 1kiq2kUV0cbLUhJsr7cpW0,3t5xRXzsuZmMDkQzgOX35S,7Aq8cN8Br8AHcDqC327dlV
If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),208687,JP Saxe | Julia Michaels,66W9LaWS0DPdL7Sz8iYGYe | 0ZED1XzwlLHW4ZaG4lOT6m,66W9LaWS0DPdL7Sz8iYGYe,7BrlhEO8dHiNmU8A1Ep9RZ
Say So,Hot Pink,237893,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,5cj0lLjcoR7YOSnhnX0Po5,1MmVkhiwTH0BkNOU3nw5d3
Intentions (feat. Quavo),Changes,212866,Justin Bieber | Quavo,1uNFoZAHBGtllmzznpCI3s | 0VRj0yCOv2FXJNP47XQnx5,1uNFoZAHBGtllmzznpCI3s,63iWSELt9V1kV6RSMxN7Ii
I Do,I Do,155822,Astrid S | Brett Young,3AVfmawzu83sp94QW7CEGm | 0fiWOxhsBsQQvFDtxUQWo0,3AVfmawzu83sp94QW7CEGm,113KjDRaG6yFaf21Eg1RSz
Gatelongs,Gatelongs,241146,Rotlaus,4ivFOCSoFSwxPXQawDqylT,4ivFOCSoFSwxPXQawDqylT,70ErtHqvlT81LzZhcI505o
everything i wanted,everything i wanted,245425,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,4i3rAwPw7Ln2YrKDusaWyT
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),215106,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,4GNC7GD6oZMSxPGyXy4MNB,2wiPF3m0ylst0JSk1IvZL8
Bruises,Divinely Uninspired To A Hellish Extent,220492,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,4GNC7GD6oZMSxPGyXy4MNB,5658aM19fA3JVwTK6eQX70
"Alone, Pt. II","Alone, Pt. II",179052,Alan Walker | Ava Max,7vk5e3vY1uw9plTHJAMwjN | 4npEfmQ6YuiwW1GpUmaq3F,7vk5e3vY1uw9plTHJAMwjN,700MviIgFKNTldTXmOAFOr
After Hours,After Hours,361026,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,4yP0hdKOZPNshxUOjY0cZj
