1247662512,686XzqMyP7bQ8B3FszR5zx,Best of Eminem,,false
track ID,Track title,href,duration (ms),explicit,Artist ID,album ID,Album Name,Album Type
5dZqnPqFR45xCZGWmxScqM,Guilty Conscience,https://api.spotify.com/v1/tracks/5dZqnPqFR45xCZGWmxScqM,200213,True,7dGJo4pcD2V6oG8kP0tJRR,5qENHeCSlwWpEzb25peRmQ,Curtain Call The Hits (Deluxe Edition),compilation
4ni8GyT1Lwn1LVl88MJsQd,Cleanin Out My Closet,https://api.spotify.com/v1/tracks/4ni8GyT1Lwn1LVl88MJsQd,298960,True,7dGJo4pcD2V6oG8kP0tJRR,5qENHeCSlwWpEzb25peRmQ,Curtain Call The Hits (Deluxe Edition),compilation
4S06iZrLlGsSqKlK6paOv8,Just Lose It,https://api.spotify.com/v1/tracks/4S06iZrLlGsSqKlK6paOv8,248600,True,7dGJo4pcD2V6oG8kP0tJRR,5qENHeCSlwWpEzb25peRmQ,Curtain Call The Hits (Deluxe Edition),compilation
42YNobZ4HN3tRVEA47wLT6,When Im Gone,https://api.spotify.com/v1/tracks/42YNobZ4HN3tRVEA47wLT6,281133,True,7dGJo4pcD2V6oG8kP0tJRR,5qENHeCSlwWpEzb25peRmQ,Curtain Call The Hits (Deluxe Edition),compilation
3bp0Zuc7LMxgjqsQ6q3E8y,Evil Deeds,https://api.spotify.com/v1/tracks/3bp0Zuc7LMxgjqsQ6q3E8y,259573,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
5CsDo9j3N4yFZNCN1h9loS,Never Enough,https://api.spotify.com/v1/tracks/5CsDo9j3N4yFZNCN1h9loS,159786,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
0pMUgJwp0a7Wxypy8xfmMO,Yellow Brick Road,https://api.spotify.com/v1/tracks/0pMUgJwp0a7Wxypy8xfmMO,346253,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
07EHYORZMFGlBdI5zIB7lp,Mosh,https://api.spotify.com/v1/tracks/07EHYORZMFGlBdI5zIB7lp,317813,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
5F94xbz85nE6wfZGHqOMCG,Puke,https://api.spotify.com/v1/tracks/5F94xbz85nE6wfZGHqOMCG,247826,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
4dh34dyav8M5jCN3yidn8Z,Big Weenie,https://api.spotify.com/v1/tracks/4dh34dyav8M5jCN3yidn8Z,266933,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
4gXdMZkBN1neE9nX6yRALa,Ass Like That,https://api.spotify.com/v1/tracks/4gXdMZkBN1neE9nX6yRALa,265480,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
1mHRciKUBSGQml3mQFGMsf,Spend Some Time,https://api.spotify.com/v1/tracks/1mHRciKUBSGQml3mQFGMsf,310720,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
561jH07mF1jHuk7KlaeF0s,Mockingbird,https://api.spotify.com/v1/tracks/561jH07mF1jHuk7KlaeF0s,250760,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
0bCCMwWTaYOcQ4v8EeEYmd,Crazy In Love,https://api.spotify.com/v1/tracks/0bCCMwWTaYOcQ4v8EeEYmd,242306,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
15ZNcgzsiiSrLQAGzl3le9,One Shot 2 Shot,https://api.spotify.com/v1/tracks/15ZNcgzsiiSrLQAGzl3le9,266573,True,7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),album
27mgDrExPa3obPAYXd3yQg,Square Dance,https://api.spotify.com/v1/tracks/27mgDrExPa3obPAYXd3yQg,323720,True,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,The Eminem Show,album
288e3FhmVuCqPmNEfAH0h6,Say Goodbye Hollywood,https://api.spotify.com/v1/tracks/288e3FhmVuCqPmNEfAH0h6,272840,True,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,The Eminem Show,album
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,290320,True,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,The Eminem Show,album
3CpoeW0cZSDzIRv5z34F87,Sing For The Moment,https://api.spotify.com/v1/tracks/3CpoeW0cZSDzIRv5z34F87,339546,True,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,The Eminem Show,album
4woTEX1wYOTGDqNXuavlRC,Superman,https://api.spotify.com/v1/tracks/4woTEX1wYOTGDqNXuavlRC,350320,True,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,The Eminem Show,album
