Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID,
Strange Timez (feat. Robert Smith),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Robert Smith,227500,1bvPlrTtIpj7CSXRaJpALg,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 6G7P2EzH5A36ujN9VPm4B0
,,,,,,
The Valley of The Pagans (feat. Beck),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Beck,181028,3oP3Tfn86FRmxAGsV0TqCp,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 3vbKDsSS70ZX9D2OcvbZmS
,,,,,,
The Lost Chord (feat. Leee John),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Leee John,243617,5jDIIpm38XbdvvSt4oilcI,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 4FyDcMx1NsTjaQuj8kGfm4
,,,,,,
Pac-Man (feat. ScHoolboy Q),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | ScHoolboy Q,192880,4hURm1oP1rE1KZ4zd7mRay,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 5IcR3N7QB1j6KBL8eImZ8m
,,,,,,
Chalk Tablet Towers (feat. St Vincent),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | St. Vincent,182726,5zGElc4Fk95ONl7YihpLFN,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 7bcbShaqKdcyjnmv4Ix8j6
,,,,,,
The Pink Phantom (feat. Elton John and 6LACK),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Elton John | 6LACK,253126,6XyFC44z3MyVMd5ZrctiWL,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 3PhoLpVuITZKcymswpck5b | 4IVAbR2w4JJNJDDRFP3E83
,,,,,,
Aries (feat. Peter Hook and Georgia),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Peter Hook | Georgia,253333,25Gp0MpGdvrs4hL1u4L2TF,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 7yE0pgnhHPnPk4GZVuEpZM | 06knYh538h5SI7OAEF8ek3
,,,,,,
Friday 13th (feat. Octavian),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Octavian,215007,5dB55Te4Ivt5VRpwQsZXMa,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 5zfEatKLDdRkgbw6sdLBAQ
,,,,,,
Dead Butterflies (feat. Kano and Roxani Arias),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Kano | Roxani Arias,273684,0kz637M43RY673RZoJCWBX,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 50nN8IFD4xA67fI4jYbLV4 | 3MaROzfiW2saBdT9SpihPG
,,,,,,
D�sol� (feat. Fatoumata Diawara) - Extended Version,"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Fatoumata Diawara,333113,7rhtPZkcGCWgA3kizGwXwO,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 4G5ZJny3HvX6Il7eHVfnNC
,,,,,,
Momentary Bliss (feat. slowthai and Slaves),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | slowthai | Slaves,221386,5h5FY6vmtDpgXF91BUexO0,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 3r1XkJ7vCs8kHBSzGvPLdP | 3xByNj8XW17oW0wsJhgzYL
,,,,,,
Opium (feat. EARTHGANG),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | EARTHGANG,410801,4jNs9cJBsFTiahZAe3iuwV,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 5MbNzCW3qokGyoo9giHA3V
,,,,,,
Simplicity (feat. Joan As Police Woman),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Joan As Police Woman,164466,5vUmlY6P9ZA3WoosABRUpp,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 6PBv8t9YTLggA9ZMwpeoqj
,,,,,,
Severed Head (feat. Goldlink and Unknown Mortal Orchestra),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | GoldLink | Unknown Mortal Orchestra,214256,0Zn0jtLj2ehkIPxlCoO65O,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 5XenQ7XfcvQdfIbpLEFaKQ | 1LeVJ5GPeYDOVUjxx1y7Rp
,,,,,,
With Love To An Ex (feat. Moonchild Sanelly),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Moonchild Sanelly,181080,4KAIfa7oABPJbKT4cUz4Tx,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 6aDX1jzNVAI9enlQzW0Pgw
,,,,,,
MLS (feat. JPEGMAFIA and CHAI),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | JPEGMAFIA | CHAI,193280,1mDbaq398rKyA2g4vv5obQ,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 6yJ6QQ3Y5l0s0tn7b0arrO | 0NZsNnETGPWLKJj2Y0vpBx
,,,,,,
How Far? (feat. Tony Allen and Skepta),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Tony Allen | Skepta,166489,7oPUdVHd88LJG7A9mVGbuF,5I9K0u8r52jp4Y2bF8mOaz,3AA28KZvwAUcZuOKwyblJQ | 6JpZEemWmunccsrHXFUOgi | 2p1fiYHYiXz9qi0JJyxBzN
,,,,,,
