7eujcpve3ivv0a4goufd3gf2y,1JmAj9IDoUoyjQxFkcMO8E,Top50 Senegal,Vivianne Chidid Youssou Ndour Dip Doundou Gis Wally Seck Etc Current trending and excting songs coming out of the wess African country with a very rich culture,false
track ID,Track title,href,duration (ms),explicit,Artist ID,album ID,Album Name,Album Type
77PPKXReaPgJeQC4uePLeI,Lou Yakou Yawa,https://api.spotify.com/v1/tracks/77PPKXReaPgJeQC4uePLeI,198000,True,4jXLwmp2AhoxoaPr14fagb,0Un8efhNQ52nzKL4L79gGK,Lou Yakou Yawa,single
2h5qQjzG4W6lXxi0xehUuZ,Nguente (feat Mbaye Dieye Faye  Wally Seck),https://api.spotify.com/v1/tracks/2h5qQjzG4W6lXxi0xehUuZ,218462,False,4BsEBIWjSkAY7XIjt7yFHi,6uz8NLk8Eb2jIJLoVJstKc,Iqra,album
4umKzJFHrUl1XgZE6OXyDy,Gstu,https://api.spotify.com/v1/tracks/4umKzJFHrUl1XgZE6OXyDy,324426,False,3sk8pox2d8hBd8FIq8S0lD,0WqLTY00yiq2FJkqtVxncO,Sarabaa,album
5nXnlF9ACW3eyE5izZGMsX,Party,https://api.spotify.com/v1/tracks/5nXnlF9ACW3eyE5izZGMsX,168175,True,4kIu81jSOm4y5fZU2ipSg2,3VmFH6fFYsiw4PF5K8bLOG,Party,single
5O4DmxQjIKvAL7UBqDegfr,Musiba,https://api.spotify.com/v1/tracks/5O4DmxQjIKvAL7UBqDegfr,210552,True,42A1uhQc0Rln9VlVGsll0m,0F0qUBpZJYVSBpXXT1NIUp,Musiba,single
2gNACaw6rfjKydDyypUXvI,Wurus Ngalam,https://api.spotify.com/v1/tracks/2gNACaw6rfjKydDyypUXvI,172800,False,6JJqGDx1VLcZv9bd3iPJVA,44UjYF8GKgKl61ZhHMsx8i,Jm,single
3pKHfG0RJGcTJTvoRPgwyW,Get The Check,https://api.spotify.com/v1/tracks/3pKHfG0RJGcTJTvoRPgwyW,190255,False,6FmyklvDhXdx9L8fMaI8iH,7gPtWcXWvcDI87y8OHrbrc,Get The Check,single
6bJLubLcUcYGO5N0lNn26L,Still Alone,https://api.spotify.com/v1/tracks/6bJLubLcUcYGO5N0lNn26L,165026,False,0z4gvV4rjIZ9wHck67ucSV,4SAz7HhY1uBvxF6O9k1iyq,Konvicted (Complete Edition),album
6FyswrVidn1P40TFFp5HpA,Boka Loho Riddim,https://api.spotify.com/v1/tracks/6FyswrVidn1P40TFFp5HpA,238545,False,1oQbNZT0ox2KqyoxUSOKAT,1KcldYduoNtyG0x6I4OJO7,Calabash Instrumentals,single
3nNYNYYoFkuVu6i7BOY0t0,Niata nio dess,https://api.spotify.com/v1/tracks/3nNYNYYoFkuVu6i7BOY0t0,194016,False,42A1uhQc0Rln9VlVGsll0m,7ebv92CkjoCKAjTYAHuvYv,Tay Leu Kagn,album
7xhgXTRprfJx0v7eYAfSYb,Teeyal,https://api.spotify.com/v1/tracks/7xhgXTRprfJx0v7eYAfSYb,193584,False,237q6mAGCztUeAVYoQhn2Q,55sOz2Fz7xCgvEmsv9uaAq,Teeyal,single
0maj3ZIpL1DncjCOg5GcDY,Mbeugl is All (feat Toumani Diabate)  Version remix,https://api.spotify.com/v1/tracks/0maj3ZIpL1DncjCOg5GcDY,398720,False,77zlytAFjPFjUKda8TNIDY,56CjdUF2WjHYYZZ9GsHjsL,Africa Rekk (Rdition),album
5nsbZI76l1gtoMuLHUDIRU,Ideu,https://api.spotify.com/v1/tracks/5nsbZI76l1gtoMuLHUDIRU,214153,False,5Nljr9KuA95WOMagY8hc8x,0GOf5kKZwAaxn8ijFJjR7a,Ideu,single
