Track Id,Track title,href,Duration (ms),Explicit,Artist IDs,Album ID,Album Name,Album Type
6K4Co1NQyOnoFEJMkZHkln,James Joint,https://api.spotify.com/v1/tracks/6K4Co1NQyOnoFEJMkZHkln,72080,True,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
0UHB9METy4VCXNgkcGqHqS,Kiss It Better,https://api.spotify.com/v1/tracks/0UHB9METy4VCXNgkcGqHqS,253080,True,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
72TFWvU3wUYdUuxejTTIzt,Work,https://api.spotify.com/v1/tracks/72TFWvU3wUYdUuxejTTIzt,219320,True,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
4mCf3vQf7z0Yseo0RxAi3V,Desperado,https://api.spotify.com/v1/tracks/4mCf3vQf7z0Yseo0RxAi3V,186466,False,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
3HQcsqRjRdruUjkbDSgmVF,Woo,https://api.spotify.com/v1/tracks/3HQcsqRjRdruUjkbDSgmVF,235586,True,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
4pAl7FkDMNBsjykPXo91B3,Needed Me,https://api.spotify.com/v1/tracks/4pAl7FkDMNBsjykPXo91B3,191600,True,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
7eDYNlBwRMeFOZHOZ95dZ1,Yeah I Said It,https://api.spotify.com/v1/tracks/7eDYNlBwRMeFOZHOZ95dZ1,133080,True,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
6RtzmszGXs32TRhv5zTKNM,Same Ol Mistakes,https://api.spotify.com/v1/tracks/6RtzmszGXs32TRhv5zTKNM,397093,False,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
7Jd5LgnSRQElW6FsTWVPzE,Never Ending,https://api.spotify.com/v1/tracks/7Jd5LgnSRQElW6FsTWVPzE,202506,False,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
5oO3drDxtziYU2H1X23ZIp,Love On The Brain,https://api.spotify.com/v1/tracks/5oO3drDxtziYU2H1X23ZIp,224000,True,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
1KnJwhZU3DIBe54Q4HPpIl,Higher,https://api.spotify.com/v1/tracks/1KnJwhZU3DIBe54Q4HPpIl,120626,True,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
6D2tzc8kRnZb7P1lNwMBLH,Close To You,https://api.spotify.com/v1/tracks/6D2tzc8kRnZb7P1lNwMBLH,223213,False,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
5LJz7kmFhLqB53tmVWxig5,Goodnight Gotham,https://api.spotify.com/v1/tracks/5LJz7kmFhLqB53tmVWxig5,88493,False,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
4UTizOdGljPIIbXtoXycAd,Pose,https://api.spotify.com/v1/tracks/4UTizOdGljPIIbXtoXycAd,144226,True,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
7BiELrM90hRxpozaIXbsLw,Sex With Me,https://api.spotify.com/v1/tracks/7BiELrM90hRxpozaIXbsLw,206400,True,5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),album
4lwclDelIroqwpVDAB1KV8,Consideration,https://api.spotify.com/v1/tracks/4lwclDelIroqwpVDAB1KV8,161066,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
5twdHhgbZP1ZObFjl4YEBf,James Joint,https://api.spotify.com/v1/tracks/5twdHhgbZP1ZObFjl4YEBf,72080,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
2m9EZH9i7bltC7eHp4y0yq,Kiss It Better,https://api.spotify.com/v1/tracks/2m9EZH9i7bltC7eHp4y0yq,253080,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
4XCvVFkuvKOqQBx5GxEoVZ,Work,https://api.spotify.com/v1/tracks/4XCvVFkuvKOqQBx5GxEoVZ,219320,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
2C6D3RtjanlaSXuL14tVLa,Desperado,https://api.spotify.com/v1/tracks/2C6D3RtjanlaSXuL14tVLa,186466,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
6512RHn4SzLGVHPxwE8foN,Woo,https://api.spotify.com/v1/tracks/6512RHn4SzLGVHPxwE8foN,235586,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
7CTrLpzsDFMjYy3b3kwJxL,Needed Me,https://api.spotify.com/v1/tracks/7CTrLpzsDFMjYy3b3kwJxL,191600,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
61I3t01fl69YpkdFgYwJNe,Yeah I Said It,https://api.spotify.com/v1/tracks/61I3t01fl69YpkdFgYwJNe,133053,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
0MK5KeFvwjUKs4wSsR4oDy,Same Ol Mistakes,https://api.spotify.com/v1/tracks/0MK5KeFvwjUKs4wSsR4oDy,397120,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
71WnpBWzi4bhjcqy6bKdj9,Never Ending,https://api.spotify.com/v1/tracks/71WnpBWzi4bhjcqy6bKdj9,202506,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
3KsznU1S6bN9sevZGp8kvS,Love On The Brain,https://api.spotify.com/v1/tracks/3KsznU1S6bN9sevZGp8kvS,224000,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
7ciR3K3DmHdHjhLZDCeod1,Higher,https://api.spotify.com/v1/tracks/7ciR3K3DmHdHjhLZDCeod1,120626,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
6pwWHX2xtRCC0fk7rhCrob,Close To You,https://api.spotify.com/v1/tracks/6pwWHX2xtRCC0fk7rhCrob,223213,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
4wEa3vvCjjEP0WvDY5EakX,Goodnight Gotham,https://api.spotify.com/v1/tracks/4wEa3vvCjjEP0WvDY5EakX,88493,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
73NJ4KX8YbNUZ9H8mPWtgo,Pose,https://api.spotify.com/v1/tracks/73NJ4KX8YbNUZ9H8mPWtgo,144226,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
42zB7BMrm1CGgOmHByu5ev,Sex With Me,https://api.spotify.com/v1/tracks/42zB7BMrm1CGgOmHByu5ev,206400,False,5pKCCKE2ajJHZ9KAiaK11H,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),album
4pp7VqgssnQtlLJg7LIrkO,Consideration,https://api.spotify.com/v1/tracks/4pp7VqgssnQtlLJg7LIrkO,161066,True,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
0430PIZJLy3Oo691nMeUH0,James Joint,https://api.spotify.com/v1/tracks/0430PIZJLy3Oo691nMeUH0,72080,True,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
49tG0W4vxwEQtpr0FfkzTQ,Kiss It Better,https://api.spotify.com/v1/tracks/49tG0W4vxwEQtpr0FfkzTQ,253080,True,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
5gZsEYaYvyi1sAVyuiXbDm,Work,https://api.spotify.com/v1/tracks/5gZsEYaYvyi1sAVyuiXbDm,219320,True,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
6ELYUjIai7bjtyUocOLCRE,Desperado,https://api.spotify.com/v1/tracks/6ELYUjIai7bjtyUocOLCRE,186466,False,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
3ueQAPksJqgen3LYyAVVgw,Woo,https://api.spotify.com/v1/tracks/3ueQAPksJqgen3LYyAVVgw,235586,True,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
4NlnpZPi5Z3r1uuyRglUhO,Needed Me,https://api.spotify.com/v1/tracks/4NlnpZPi5Z3r1uuyRglUhO,191600,True,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
1q35smJsSPtVl4aoc72wYN,Yeah I Said It,https://api.spotify.com/v1/tracks/1q35smJsSPtVl4aoc72wYN,133080,True,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
39hkTmV9qe7lB2PTA0KVbk,Same Ol Mistakes,https://api.spotify.com/v1/tracks/39hkTmV9qe7lB2PTA0KVbk,397093,False,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
7DJmn7YiwwpU2QTwycq6Lt,Never Ending,https://api.spotify.com/v1/tracks/7DJmn7YiwwpU2QTwycq6Lt,202506,False,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
31adnbEEiHwy6DDQ82F3HP,Love On The Brain,https://api.spotify.com/v1/tracks/31adnbEEiHwy6DDQ82F3HP,224000,True,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
390Zbl3vRpmvjyliv3cp96,Higher,https://api.spotify.com/v1/tracks/390Zbl3vRpmvjyliv3cp96,120626,True,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
2ZroUx8b9r7pCZOdmbiwPj,Close To You,https://api.spotify.com/v1/tracks/2ZroUx8b9r7pCZOdmbiwPj,223226,False,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,album
2dHmlqBcJxPvVvAqhNco2B,Consideration,https://api.spotify.com/v1/tracks/2dHmlqBcJxPvVvAqhNco2B,161066,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
1vNqTqPg1LWSSxDmqmogCK,James Joint,https://api.spotify.com/v1/tracks/1vNqTqPg1LWSSxDmqmogCK,72080,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
7EGtNlu0towVa7NThMHtCv,Kiss It Better,https://api.spotify.com/v1/tracks/7EGtNlu0towVa7NThMHtCv,253080,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
2C95q2UTaZr1zj3xzj5uXC,Work,https://api.spotify.com/v1/tracks/2C95q2UTaZr1zj3xzj5uXC,219320,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
7M8suDZHDKipLqwnw03yoK,Desperado,https://api.spotify.com/v1/tracks/7M8suDZHDKipLqwnw03yoK,186466,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
4a6fOmBUlcLB6vQzVsg7vT,Woo,https://api.spotify.com/v1/tracks/4a6fOmBUlcLB6vQzVsg7vT,235586,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
639QPT9YkqIdgPkZMkatN7,Needed Me,https://api.spotify.com/v1/tracks/639QPT9YkqIdgPkZMkatN7,191600,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
2Brz5gB0BjbyzC7XJ57EEg,Yeah I Said It,https://api.spotify.com/v1/tracks/2Brz5gB0BjbyzC7XJ57EEg,133053,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
1kSvWu8AJrCKJ1vXdw6qrp,Same Ol Mistakes,https://api.spotify.com/v1/tracks/1kSvWu8AJrCKJ1vXdw6qrp,397120,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
0pxvzLB5AdbUdJbduq8COr,Never Ending,https://api.spotify.com/v1/tracks/0pxvzLB5AdbUdJbduq8COr,202506,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
4S1vnq8appsFS8xT5bnXgm,Love On The Brain,https://api.spotify.com/v1/tracks/4S1vnq8appsFS8xT5bnXgm,224000,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
6ODKKnwutY3Ko4dmoy4SVc,Higher,https://api.spotify.com/v1/tracks/6ODKKnwutY3Ko4dmoy4SVc,120626,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
2u9U8eutzcSJvJxbwkCksg,Close To You,https://api.spotify.com/v1/tracks/2u9U8eutzcSJvJxbwkCksg,223226,False,5pKCCKE2ajJHZ9KAiaK11H,3p39yDJtXkSw8QLMmB8yyD,ANTI,album
