Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID
"Hells Bells - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,337800,6ZIM0F8bSeI2OH6n3sJByc,4H6JMsvxmh0U7VBYiWiyLa,711MCceyCBcFnzjGY4Q7Un
"Shoot to Thrill - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,355986,3C4D0HOQdvc4AWhMeW4fFt,4H6JMsvxmh0U7VBYiWiyLa,711MCceyCBcFnzjGY4Q7Un
"War Machine - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,219200,26xgWDWwV01L1f3jV1Fu3D,4H6JMsvxmh0U7VBYiWiyLa,711MCceyCBcFnzjGY4Q7Un
"Dog Eat Dog - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,309880,1hBoa6sbaicdHqQY3a9xWF,4H6JMsvxmh0U7VBYiWiyLa,711MCceyCBcFnzjGY4Q7Un
"You Shook Me All Night Long - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,241653,778MsQxm8FaGUpZH6jttfr,4H6JMsvxmh0U7VBYiWiyLa,711MCceyCBcFnzjGY4Q7Un
"T.N.T. - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,237333,5q7dkO4CQpC3INAvMx55wT,4H6JMsvxmh0U7VBYiWiyLa,711MCceyCBcFnzjGY4Q7Un
"Whole Lotta Rosie - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,357586,6bZQwL1KmpE3y4TH3jIVgr,4H6JMsvxmh0U7VBYiWiyLa,711MCceyCBcFnzjGY4Q7Un
"Let There Be Rock - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,1086853,2q0FeOVtIivDv9WWzvPH6J,4H6JMsvxmh0U7VBYiWiyLa,711MCceyCBcFnzjGY4Q7Un
"Highway to Hell - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,284253,7vTCGXUv3XOKScExgMtmel,4H6JMsvxmh0U7VBYiWiyLa,711MCceyCBcFnzjGY4Q7Un
"For Those About to Rock (We Salute You) - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,465426,6CszSinwzUcQRponsCm2CR,4H6JMsvxmh0U7VBYiWiyLa,711MCceyCBcFnzjGY4Q7Un
Rock N Roll Train,Black Ice,AC/DC,261506,4feXJ5IC3avXsVW9WNFSag,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Skies on Fire,Black Ice,AC/DC,214173,4K3ReloaWQZmMz6jrLQ34V,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Big Jack,Black Ice,AC/DC,237066,6vgEMqEmhSkv2G23nl1VTu,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Anything Goes,Black Ice,AC/DC,202160,4OrKIUhgiIiOefxwmrVedV,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
War Machine,Black Ice,AC/DC,189786,5YnNWHKCJaJKwbagXDb5Uf,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Smash N Grab,Black Ice,AC/DC,246413,6GIow0bPNRxQwCgCJODRHq,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Spoilin' for a Fight,Black Ice,AC/DC,197080,5yx3jekDsFzX987CIHX2Yn,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Wheels,Black Ice,AC/DC,208493,2L4PQQuGuGaCpT8pYNxka6,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Decibel,Black Ice,AC/DC,213880,1KS8jTXFTx6Ue7GijLLGTU,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Stormy May Day,Black Ice,AC/DC,190213,4Pm55wDKHjx8JQtzUK0loE,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
She Likes Rock N Roll,Black Ice,AC/DC,232946,6QitPoNJ9DPtBAA5N6LWYA,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Money Made,Black Ice,AC/DC,255453,7kiKiDlZVrwufrqegBdUqt,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Rock N Roll Dream,Black Ice,AC/DC,280906,6RYm3vNuXgILX6yTVWl4ln,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Rocking All the Way,Black Ice,AC/DC,202493,54Qq4F7r3l1CsMOVxj2GJQ,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Black Ice,Black Ice,AC/DC,205106,3Axmw41lmMoXih3NJYzbXb,7qVfz4UGONwEd5nQjj0ESN,711MCceyCBcFnzjGY4Q7Un
Stiff Upper Lip,Stiff Upper Lip,AC/DC,214560,1KBuhAHzia2qoD4u6YhvER,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
Meltdown,Stiff Upper Lip,AC/DC,221066,6x4UZ92rUZbRxUzvx0JVl6,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
House of Jazz,Stiff Upper Lip,AC/DC,236426,2BNFtsFjAXw46wRq0injZj,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
Hold Me Back,Stiff Upper Lip,AC/DC,239133,79fB8SJnwlaGCbP4hFFWG0,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
Safe in New York City,Stiff Upper Lip,AC/DC,239466,6xs17NF4X10Y7UGwto7S7Z,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
Can't Stand Still,Stiff Upper Lip,AC/DC,221400,4GLQAKOPFXOI07JzfrniZs,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
Can't Stop Rock 'n' Roll,Stiff Upper Lip,AC/DC,242000,2TCEl9FdIPmIXyM2Jd6Lws,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
Satellite Blues,Stiff Upper Lip,AC/DC,226333,7lrBHMaXy0klQR4KFZuwAs,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
Damned,Stiff Upper Lip,AC/DC,232133,6MJ5Q5tcNIWDrdBt3woKdj,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
Come and Get It,Stiff Upper Lip,AC/DC,242600,1B7YWCnmn6bWii1Pyy8cfK,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
